Mon Jun 24 08:38:18 +0000 2019,Vou no hospital hj, dá mais não,MarcusPauloSam2,Cabo Frio, Brasil
Mon Jun 24 08:38:40 +0000 2019,RT @achehymns: *um namorado está com a namorada no hospital e ela está quase a morrer 😪*

ele: oi...
ela: beep... beep... beep...
ele: 😪
el…,coralinebraga1,Lisboa, Portugal
Mon Jun 24 08:39:26 +0000 2019,Tinha sido uma noite incrível se não tivesse acabado no hospital,kika_carvalhoo,Miranda do Corvo, Portugal
Mon Jun 24 08:39:48 +0000 2019,RT @MARCUSPITTER: SE EU PASSAR MAL, POR FAVOR ME LEVEM PRA ESSE HOSPITAL https://t.co/tUl3JnM78T,MARCUSPITTER,Rio de Janeiro, Brasil
Mon Jun 24 08:39:55 +0000 2019,RT @ifclvsx: eu nunca vou perceber como é que a sexualidade de alguém consegue perturbar outros, quantas patologias é que é necessário ter?…,forewordross,the1975
